,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.0001,0.9114942677815755,0.013367466593696024,0.22152182306304125,0.03248547682293898,0.8590038299560546,0.013071835854990214,0.34160851332403364,0.026163030310242592,0.9613489848884355,0.012256136507407447,0.9420562551261639,0.0016829229388324392
lr-0.0003,0.8808428955078126,0.003464185520355968,0.2806577679785815,0.013231158130179546,0.8551724243164062,0.0045977020263671675,0.31972948532728923,0.004792951601893677,0.9379392191768058,0.008013775037372156,0.9303484987375565,0.00393364757422746
lr-0.0005,0.8519157155354818,0.009343866571634133,0.331977503046845,0.023471904111901122,0.8475095621744791,0.006636233280606899,0.3484289589382353,0.012895912382946583,0.9108802937200342,0.013326114706145394,0.9207635772985316,0.009352381134454534
lr-0.001,0.8128352610270183,0.01906395318315454,0.3918204777168504,0.025555257609771967,0.802298838297526,0.032183870588030725,0.4058510583071482,0.02498271427993801,0.8732171726831215,0.018775415317165894,0.9032582300059504,0.010216259490259056
lr-3e-05,0.8904214477539062,0.0034641855203559097,0.25014468548875873,0.00809811250661803,0.8681992340087891,0.008703322904311951,0.3329410347200576,0.014266610234671144,0.9503028797139521,0.004042400633163206,0.9347067432173816,0.002423183558498418
lr-5e-05,0.9118773651123048,0.015763618407829687,0.21397374687772808,0.0435402882883593,0.8620689646402995,0.021929629000268815,0.3726611893091883,0.016314471972415586,0.9626632708829529,0.015469160514487093,0.9391856033193419,0.005577660754159415
lr-5e-07,0.7229884847005209,0.002986300571440143,0.5410591273596793,0.0044837166768083025,0.6919540150960287,0.002298851013289113,0.5425340483585993,0.005144107528209168,0.6963710558478916,0.0035955255524157356,0.7761454463582124,0.0036291742160456516
