,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.003,0.9005746968587239,0.0020721589459132012,0.23893598742557295,0.008584824614160881,0.8536398315429686,0.0013272642754533544,0.3534722416883423,0.027451239125039693,0.9538784786758187,0.0048623455399167,0.9253952171885302,0.0009900282306788775
lr-0.005,0.9017241414388021,0.0035890967921143315,0.22734506446303746,0.013504676239881325,0.8475095621744791,0.011339975654633376,0.3417672944210824,0.010907713640209324,0.9600406927355185,0.0034173469663800046,0.9289332754378347,0.0014236731490017884
lr-0.01,0.9049808247884115,0.03179324588604876,0.22694734559591975,0.06629011427318175,0.8551724243164062,0.0045977020263671675,0.3425540132891564,0.004823698674412843,0.9571881690285128,0.02585481723972955,0.9285875106543799,0.006991726022521469
lr-0.03,0.9285440572102864,0.01133993183317133,0.1782710277108532,0.04129450225979827,0.8605363972981771,0.010863967565970583,0.3537414364871525,0.009892960197307543,0.9747839083879454,0.012706366840957993,0.9296006818803172,0.006419304980371423
lr-0.05,0.9157087961832682,0.0028926650025696823,0.19924624878348726,0.0066548144066735935,0.8659003702799479,0.005785294636210319,0.33189032652548384,0.010555215195624454,0.9691823909652101,0.002904558223881426,0.9324391695212365,0.001746276515152922
lr-0.07,0.884674326578776,0.021056255159402446,0.26329835951328273,0.03676250967608498,0.8367816162109375,0.0121643761641453,0.37448469691333314,0.05133168883163374,0.9449803483729718,0.015750661542259688,0.9225888937135137,0.006534962866856774
lr-0.1,0.9015325673421225,0.010350130012518655,0.23309597056923495,0.027693878798889,0.8490421549479167,0.014046211705786325,0.35163104605107076,0.014974775366696535,0.9566329213384576,0.01053068165669017,0.9241649378427494,0.008372925324658616
lr-0.3,0.8542145538330077,0.007277164981716839,0.3291136934901729,0.014371914380874365,0.8222222137451172,0.004785446100433688,0.37971535325050354,0.006959866065169331,0.9118883488982504,0.008787641694293446,0.9046171660153423,0.004006399994930771
