,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.003,0.8802681986490885,0.005981783191875746,0.2816861002282663,0.010628726092972173,0.8582375335693359,0.009290698905353546,0.3309188747689838,0.004034310871070051,0.9384911974987155,0.0047244078831801765,0.9257007767646065,0.004071666131829319
lr-0.005,0.8936781565348307,0.002072158945913186,0.25523694419499604,0.010379568279288738,0.8413792928059896,0.03092788294249819,0.38414552594934187,0.05124495878618774,0.9487891622625554,0.004621757035033787,0.9251539859442595,0.0018844365553835577
lr-0.01,0.8977011362711589,0.004144296731315026,0.25436053772767386,0.017655888737793474,0.8398467254638672,0.012661065662735919,0.35254093259572983,0.016428601310538533,0.9494196054199585,0.007853046104905144,0.9228462070407358,0.00646973622364971
lr-0.03,0.895210749308268,0.006928406902756112,0.24212799668312077,0.01617388372029525,0.8375478871663411,0.016309429418605092,0.38052123075439814,0.061791991550644125,0.9538245341014169,0.006300787143764741,0.9215033531142954,0.010776504667220563
lr-0.05,0.8622605133056641,0.01570062177477893,0.3083656656922716,0.04007624691751615,0.8245210520426433,0.013856813805512219,0.3854969537683896,0.0295396432931529,0.9222914783374391,0.022005841968478445,0.9076968849005324,0.006655112003641646
lr-0.1,0.8024904123942057,0.030140009722890743,0.4211257017020023,0.03371809109471439,0.7954022979736329,0.045919478648557104,0.42816987775620957,0.031985148145994256,0.8491311926600504,0.033781434139927694,0.8841446744182306,0.02643115529997093
lr-0.3,0.7101532491048177,0.007717730321030239,0.5891133131402911,0.016675837922123706,0.6735632069905598,0.003981704729700253,0.6454310963551203,0.04906622286834071,0.5791786475386834,0.0814822132090485,0.6669682057220051,0.10079721253316454
lr-0.5,0.688888905843099,0.04913822014582258,1.1878714472958538,1.0231905745688927,0.6796934763590494,0.006636233280606898,0.6135149044649942,0.027532110046320644,0.5285440359368946,0.06809529229491956,0.6113965680834982,0.08973962160590583
