,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.005,0.7053639984130861,0.008646207980653589,0.5132093837766937,0.004602583772323234,0.6750957743326822,0.0013272202271234497,0.5304238157612936,0.004658727555819881,0.6130141558191755,0.0028938277690585966,0.8202505588523826,0.004903367489173903
lr-0.01,0.7078543853759767,0.006808164484898502,0.5099806153413021,0.012050479831521736,0.6865900166829427,0.014046211705786312,0.5107638431446893,0.02811576740305757,0.6626916598963501,0.020455511899708276,0.8219150544378507,0.02109512175271161
lr-0.03,0.7386973317464193,0.011266905898138722,0.4331832152424437,0.017717487795844433,0.7701149495442708,0.017355924330132916,0.41739326999301,0.011515917861137339,0.7820601051537773,0.020029657291966856,0.8872726395522749,0.005475417872811615
lr-0.05,0.7373563385009766,0.03185381403092139,0.5066238497242783,0.10072492917896164,0.7241379038492838,0.08361623980700374,0.5186969336299669,0.1234395775440573,0.6607126023789012,0.1458123269236993,0.7801096798057285,0.11140421989888415
lr-0.1,0.7674329376220702,0.04465160942300024,0.46757478072787784,0.11608132397162574,0.7601532491048176,0.07389772107565798,0.4901134414332254,0.138886685125392,0.715536364364541,0.21754227773376789,0.7919219697335199,0.16891070349153375
lr-0.5,0.7045977020263673,0.007602731498081722,0.62574742436409,0.0026616843622776823,0.675862045288086,1.3597399555105182e-16,0.6741080908548264,0.04288264095431104,0.49014040301501133,0.006413833729117022,0.5752561071710008,0.06780213884813632
lr-1.0,0.6852490234375,0.022327691542020085,0.6348725015466864,0.020948670755252728,0.675862045288086,1.3597399555105182e-16,0.6580794411046166,0.02834039826724046,0.4921826683166078,0.005029671954338475,0.5408927164246313,0.02775132017198523
lr-3.0,0.6118773778279621,0.018723056019982722,8.516170650178736,4.167799088127013,0.675862045288086,1.3597399555105182e-16,0.8331514795621237,0.25203775008246454,0.4964788905072261,0.013048587819249812,0.5,0.0
