,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.0001,0.917049789428711,0.011641767546217477,0.21130227640722743,0.02971173628043318,0.8551723988850911,0.02043261328227064,0.35365982602039975,0.024320753443424617,0.9649692652149583,0.009837967200278836,0.9393464241488557,0.0012609573490040043
lr-0.0003,0.8683907826741537,0.01678512505781682,0.29995374589255364,0.024402507488437263,0.832950185139974,0.02232764964759725,0.35263534386952716,0.03986000975153568,0.9281948674189483,0.012609626695718195,0.9273974365159776,0.007515479307678916
lr-0.0005,0.8444444529215495,0.007823991693097412,0.3392184675642938,0.008580782277862723,0.8321838887532552,0.01609195709230024,0.3516588065595854,0.014866525435241711,0.9089949580894249,0.007484155219579443,0.9200479246071952,0.0054852576062015745
lr-0.001,0.7950191752115886,0.014046211705786325,0.40801959471269084,0.02437465910068433,0.8214559173583984,0.017856239549789422,0.3799663881460826,0.005885025174724231,0.8580320474363523,0.01993534205082681,0.9037808977018704,0.0053181140756297825
lr-3e-05,0.892911860148112,0.006408317550623449,0.24764705607385343,0.01211154013068032,0.8727969360351562,0.00870332290431199,0.3143836486907232,0.014846044534450896,0.9508205296703333,0.005008463924583431,0.9393625062318071,0.006327727444824189
lr-5e-05,0.9137931060791016,0.0063218688964843395,0.2069279264884465,0.013615604601304752,0.8766283416748046,0.01955151867833406,0.3208295513121855,0.0126071949621003,0.966882390474805,0.00487670023882378,0.9398771328862514,0.0009993885639574623
lr-5e-07,0.7272030639648438,0.0043135326577302775,0.5386799852053324,0.011063266806933626,0.6942528788248697,0.002298851013289057,0.5456033604485647,0.005725165143754709,0.6998017128219715,0.022111637844615385,0.7665042376288577,0.012692003910898536
