,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.005,0.7109195200602213,0.00753729582378159,0.5292667293187344,0.02236965241667757,0.6842911783854166,0.014599686788337245,0.5410546106951578,0.02989826677744286,0.6017778823975585,0.05711475819758491,0.7939483121853943,0.03218224010112553
lr-0.01,0.7072796630859375,0.008134438856543774,0.49443843870451953,0.009425413989337808,0.693486607869466,0.01914175996793021,0.4952016813414437,0.013020501176272004,0.690709600009154,0.01246711063965081,0.8367025297116483,0.009532338414875274
lr-0.03,0.7448276011149089,0.010964810501242208,0.42888191197857717,0.018424028472182125,0.8007662709554036,0.01266107489778527,0.4109392137754531,0.024935164275541332,0.7887443283273857,0.020693591796052364,0.8884305495247743,0.011574374649050022
lr-0.05,0.7522988382975261,0.04166961361945976,0.42822175314932154,0.06355274941041521,0.7701149241129558,0.04978484450786553,0.4261294660114107,0.06592262764201794,0.7884558065885398,0.06972102589769455,0.8872002701789935,0.038021985329673574
lr-0.1,0.7419540405273436,0.02438977753437518,0.47446534064683044,0.029446743235992435,0.7272030639648438,0.03957318358717871,0.48657765700703576,0.000647328584678548,0.7670624236806874,0.0392201246653404,0.8526157507920425,0.020730402223503114
lr-0.5,0.7057471211751302,0.013828976995701087,0.6154257474523602,0.009689778180418138,0.675862045288086,1.3597399555105182e-16,0.6416277715138027,0.008843786514176576,0.4878853563366075,0.0033402669110226125,0.5888896929930364,0.114202622910131
lr-1.0,0.6770114898681641,0.020553507385007476,1.5500404139359791,1.5710486677142428,0.675862045288086,1.3597399555105182e-16,0.6419242379211244,0.00814828327436155,0.480074835836852,0.007439181632700364,0.5166047506473038,0.014513910577552979
lr-3.0,0.6233716583251953,0.018104207171972097,6.630776858691013,5.0637219155229625,0.675862045288086,1.3597399555105182e-16,0.8441812112217857,0.168571104207718,0.496326047546421,0.024889328125167507,0.5,0.0
