,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.003,0.866475092569987,0.01533886030227846,0.29904708632014015,0.02559624481854629,0.8444444274902344,0.03849000326319839,0.3857197878616197,0.05848911097330601,0.9270778333025468,0.012941671190289663,0.9236503111883051,0.004708646040416651
lr-0.005,0.8802681732177735,0.0083745280578091,0.27951783298543004,0.023067533743698763,0.8544061024983725,0.009570879983965127,0.36018475606327965,0.030004066584580654,0.9380111452760082,0.009673320729019837,0.9226210578794166,0.0041521449805318016
lr-0.01,0.881800791422526,0.020158676931106106,0.28014210817037205,0.03334725758256442,0.8436781311035156,0.0121643761641453,0.3530289236278761,0.02802120336503249,0.9388644503620008,0.016535463541258455,0.924357922838166,0.0026619005210165294
lr-0.03,0.8862068684895833,0.013947887802769477,0.2617317122943474,0.01746089183723142,0.8475095621744791,0.0047854338836250225,0.3577475185905184,0.032866956630801275,0.9467626989069958,0.008480626486323178,0.9194207233720911,0.0023418489319728788
lr-0.05,0.8655172475179036,0.0031998771766514355,0.31247927961927474,0.01045257165118209,0.8352490234375001,0.03333996421934175,0.3777034772293908,0.0548190226692559,0.922247886762165,0.007716302585823896,0.9193161898329073,0.0094466701454296
lr-0.1,0.8195402272542318,0.00753729582378159,0.3922947785167983,0.016952469023366258,0.81762451171875,0.025217624798644336,0.3934564672055698,0.02419710149029368,0.8743434700092686,0.015670986744912054,0.8909473955066659,0.013278379496641166
lr-0.3,0.7166666666666667,0.004488680621540583,0.6046077636155215,0.007485596049438857,0.675862045288086,1.3597399555105182e-16,0.6274769072021757,0.009831803851458968,0.5328312673651127,0.047619866536505,0.6821215483829466,0.03568148799929353
lr-0.5,0.7109195454915365,0.007774583416795373,0.6022062565341141,0.007473666699885104,0.675862045288086,1.3597399555105182e-16,0.6509448949779783,0.022761087609848622,0.5467157289846378,0.04567194135524258,0.6487954519869413,0.02848116260190625
