,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.003,0.8975095621744792,0.012357451975189624,0.25201312935713566,0.020842189227410924,0.8605363718668619,0.014779544215131581,0.3354782188932101,0.0223793912181165,0.950582410690398,0.010080502947695705,0.9283623614930606,0.0028907851653742133
lr-0.005,0.9032566833496093,0.012330684248919999,0.23490893689520428,0.03495983068746122,0.8559386698404948,0.01614659886953138,0.35553629731848124,0.07452754516687674,0.9565016017179439,0.01511338664549986,0.9339026390698123,0.0054263090365690965
lr-0.01,0.9044061279296874,0.009361552209406137,0.2194514302593289,0.023769911571635556,0.8574712626139324,0.006082202500295856,0.34264128158489865,0.009578752033132132,0.9636822239549874,0.007469643214120671,0.9322301024428684,0.0022056944665121685
lr-0.03,0.9001915486653647,0.017754177047496694,0.23456199977434045,0.03261834159032361,0.8337164560953777,0.045650166272423784,0.3851133127297674,0.08111332746828968,0.9568950156847936,0.011499136397021591,0.9265611682025057,0.004150743239073247
lr-0.05,0.9034482828776041,0.02155745605013955,0.21915224932811475,0.037583083616782725,0.8681992340087891,0.0035115362777724092,0.32851743910993847,0.018524438075852752,0.9619200345245277,0.014447342274313286,0.9351168363326418,0.00033887051520079876
lr-0.07,0.8931034596761068,0.021030094553240754,0.24308774645129838,0.03681150985663206,0.8590038299560546,0.009290698905353606,0.3360585850619134,0.00852061782161366,0.9524601177953343,0.014636826180498433,0.9299062414563934,0.004441298037007346
lr-0.1,0.8787356313069662,0.04853172277732899,0.2718645692774743,0.08672143160574239,0.8567049662272135,0.009290692612734998,0.3347273174495924,0.010432110741739114,0.9374629812169352,0.038345601291767964,0.9310239462215145,0.005284799784874749
lr-0.3,0.8277777608235676,0.03699799097673931,0.3587916541280168,0.05410897535582104,0.8283524831136068,0.016309429418605043,0.38372765233119327,0.032869729971486114,0.893897015993204,0.039372905843619,0.8981843328347887,0.0187277703086072
