Files already downloaded and verified
Files already downloaded and verified
### Creating features from pre-trained context model ###
/project/6060173/stephy/HistoKT/env/lib/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 6, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Step [0/195]	 Computing features...
Step [20/195]	 Computing features...
Step [40/195]	 Computing features...
Step [60/195]	 Computing features...
Step [80/195]	 Computing features...
Step [100/195]	 Computing features...
Step [120/195]	 Computing features...
Step [140/195]	 Computing features...
Step [160/195]	 Computing features...
Step [180/195]	 Computing features...
Features shape (49920, 512)
/project/6060173/stephy/HistoKT/env/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Step [0/39]	 Computing features...
Step [20/39]	 Computing features...
Features shape (9984, 512)
Epoch [62/500]	 Loss: 0.4620611927448175	 Accuracy: 0.8344751602564102
Epoch [63/500]	 Loss: 0.4614410019837893	 Accuracy: 0.8348557692307692
Epoch [64/500]	 Loss: 0.46083148779013217	 Accuracy: 0.8350360576923077
Epoch [65/500]	 Loss: 0.4602323075135549	 Accuracy: 0.835136217948718
Epoch [66/500]	 Loss: 0.45964312889637093	 Accuracy: 0.8354166666666667
Epoch [67/500]	 Loss: 0.4590636546795185	 Accuracy: 0.8356370192307693
Epoch [68/500]	 Loss: 0.45849357873965535	 Accuracy: 0.8358974358974359
Epoch [69/500]	 Loss: 0.4579326327030475	 Accuracy: 0.8361578525641026
Epoch [70/500]	 Loss: 0.45738053169005954	 Accuracy: 0.8364383012820513
Epoch [71/500]	 Loss: 0.4568370323914748	 Accuracy: 0.8365785256410256
Epoch [72/500]	 Loss: 0.45630187575633707	 Accuracy: 0.8368389423076923
Epoch [73/500]	 Loss: 0.45577484094179593	 Accuracy: 0.8368990384615385
Epoch [74/500]	 Loss: 0.45525568418013745	 Accuracy: 0.8369991987179487
Epoch [75/500]	 Loss: 0.45474420617788264	 Accuracy: 0.8371995192307692
Epoch [76/500]	 Loss: 0.45424017982605175	 Accuracy: 0.837459935897436
Epoch [77/500]	 Loss: 0.4537434194332514	 Accuracy: 0.8376201923076924
Epoch [78/500]	 Loss: 0.4532537244833433	 Accuracy: 0.8379807692307693
Epoch [79/500]	 Loss: 0.4527709247210087	 Accuracy: 0.8380809294871795
Epoch [80/500]	 Loss: 0.4522948145866394	 Accuracy: 0.8382011217948718
Epoch [81/500]	 Loss: 0.45182525439140125	 Accuracy: 0.8383613782051282
Epoch [82/500]	 Loss: 0.45136205508158755	 Accuracy: 0.8385416666666666
Epoch [83/500]	 Loss: 0.4509050768155318	 Accuracy: 0.838701923076923
Epoch [84/500]	 Loss: 0.45045415071340705	 Accuracy: 0.8387219551282051
Epoch [85/500]	 Loss: 0.45000914151851945	 Accuracy: 0.8389022435897436
Epoch [86/500]	 Loss: 0.44956990159474886	 Accuracy: 0.8391426282051282
Epoch [87/500]	 Loss: 0.4491362988948822	 Accuracy: 0.8392227564102565
Epoch [88/500]	 Loss: 0.4487081935772529	 Accuracy: 0.8393830128205129
Epoch [89/500]	 Loss: 0.44828546658540386	 Accuracy: 0.8396233974358974
Epoch [90/500]	 Loss: 0.4478679872476138	 Accuracy: 0.8398637820512821
Epoch [91/500]	 Loss: 0.4474556410923982	 Accuracy: 0.8400641025641026
Epoch [92/500]	 Loss: 0.44704830692364617	 Accuracy: 0.8401642628205128
Epoch [93/500]	 Loss: 0.44664587684166734	 Accuracy: 0.8403645833333333
Epoch [94/500]	 Loss: 0.4462482420297769	 Accuracy: 0.8405248397435897
Epoch [95/500]	 Loss: 0.4458553022299057	 Accuracy: 0.840645032051282
Epoch [96/500]	 Loss: 0.44546695886514126	 Accuracy: 0.8409054487179487
Epoch [97/500]	 Loss: 0.44508310082631236	 Accuracy: 0.8411658653846154
Epoch [98/500]	 Loss: 0.4447036446669163	 Accuracy: 0.8412660256410256
Epoch [99/500]	 Loss: 0.4443284953251863	 Accuracy: 0.8414663461538462
Epoch [100/500]	 Loss: 0.4439575594205123	 Accuracy: 0.8415865384615384
Epoch [101/500]	 Loss: 0.4435907588555263	 Accuracy: 0.8415464743589743
Epoch [102/500]	 Loss: 0.4432280115592174	 Accuracy: 0.8416666666666667
Epoch [103/500]	 Loss: 0.44286922537363493	 Accuracy: 0.8417668269230769
Epoch [104/500]	 Loss: 0.44251432663355117	 Accuracy: 0.841806891025641
Epoch [105/500]	 Loss: 0.4421632347962795	 Accuracy: 0.8420272435897436
Epoch [106/500]	 Loss: 0.44181588735335914	 Accuracy: 0.8419871794871795
Epoch [107/500]	 Loss: 0.44147219917713065	 Accuracy: 0.8420673076923076
Epoch [108/500]	 Loss: 0.4411320984363556	 Accuracy: 0.8422075320512821
Epoch [109/500]	 Loss: 0.44079552919436726	 Accuracy: 0.8423076923076923
Epoch [110/500]	 Loss: 0.440462427567213	 Accuracy: 0.842568108974359
Epoch [111/500]	 Loss: 0.4401327146933629	 Accuracy: 0.8428084935897436
Epoch [112/500]	 Loss: 0.4398063347889827	 Accuracy: 0.8429086538461539
Epoch [113/500]	 Loss: 0.43948322305312526	 Accuracy: 0.842988782051282
Epoch [114/500]	 Loss: 0.4391633258416103	 Accuracy: 0.8431290064102565
Epoch [115/500]	 Loss: 0.4388465838554578	 Accuracy: 0.8433894230769231
Epoch [116/500]	 Loss: 0.43853293718435826	 Accuracy: 0.8435496794871795
Epoch [117/500]	 Loss: 0.4382223323369637	 Accuracy: 0.8436097756410257
