Files already downloaded and verified
Files already downloaded and verified
### Creating features from pre-trained context model ###
/project/6060173/stephy/HistoKT/env/lib/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 6, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Step [0/195]	 Computing features...
Step [20/195]	 Computing features...
Step [40/195]	 Computing features...
Step [60/195]	 Computing features...
Step [80/195]	 Computing features...
Step [100/195]	 Computing features...
Step [120/195]	 Computing features...
Step [140/195]	 Computing features...
Step [160/195]	 Computing features...
Step [180/195]	 Computing features...
Features shape (49920, 512)
/project/6060173/stephy/HistoKT/env/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Step [0/39]	 Computing features...
Step [20/39]	 Computing features...
Features shape (9984, 512)
Epoch [62/500]	 Loss: 0.768090250247564	 Accuracy: 0.7286858974358974
Epoch [63/500]	 Loss: 0.7668384121014522	 Accuracy: 0.7291666666666666
Epoch [64/500]	 Loss: 0.7656141057992593	 Accuracy: 0.7293669871794872
Epoch [65/500]	 Loss: 0.7644161273271609	 Accuracy: 0.7296875
Epoch [66/500]	 Loss: 0.7632433830163418	 Accuracy: 0.730088141025641
Epoch [67/500]	 Loss: 0.7620948430819389	 Accuracy: 0.7303084935897436
Epoch [68/500]	 Loss: 0.7609695040262663	 Accuracy: 0.7305088141025641
Epoch [69/500]	 Loss: 0.7598664690286685	 Accuracy: 0.7306490384615385
Epoch [70/500]	 Loss: 0.7587848385175069	 Accuracy: 0.7310897435897435
Epoch [71/500]	 Loss: 0.7577238177641844	 Accuracy: 0.7315104166666667
Epoch [72/500]	 Loss: 0.7566826154024173	 Accuracy: 0.7321113782051282
Epoch [73/500]	 Loss: 0.7556605057838636	 Accuracy: 0.7326121794871795
Epoch [74/500]	 Loss: 0.754656789241693	 Accuracy: 0.7329527243589744
Epoch [75/500]	 Loss: 0.7536708235740661	 Accuracy: 0.7331530448717949
Epoch [76/500]	 Loss: 0.7527019723867758	 Accuracy: 0.7334535256410256
Epoch [77/500]	 Loss: 0.7517496420786931	 Accuracy: 0.7337139423076923
Epoch [78/500]	 Loss: 0.7508132815361023	 Accuracy: 0.7342548076923077
Epoch [79/500]	 Loss: 0.7498923411736121	 Accuracy: 0.7347355769230769
Epoch [80/500]	 Loss: 0.7489863456823886	 Accuracy: 0.735176282051282
Epoch [81/500]	 Loss: 0.7480947674849094	 Accuracy: 0.7352964743589744
Epoch [82/500]	 Loss: 0.7472171920996445	 Accuracy: 0.7357171474358974
Epoch [83/500]	 Loss: 0.7463531512480516	 Accuracy: 0.7360977564102564
Epoch [84/500]	 Loss: 0.745502223723974	 Accuracy: 0.7363581730769231
Epoch [85/500]	 Loss: 0.744664040589944	 Accuracy: 0.7365584935897436
Epoch [86/500]	 Loss: 0.7438381986740308	 Accuracy: 0.736758814102564
Epoch [87/500]	 Loss: 0.7430243430993496	 Accuracy: 0.7372395833333333
Epoch [88/500]	 Loss: 0.7422221052340973	 Accuracy: 0.7376201923076923
Epoch [89/500]	 Loss: 0.7414311742171263	 Accuracy: 0.7376602564102565
Epoch [90/500]	 Loss: 0.7406512297116793	 Accuracy: 0.7378605769230769
Epoch [91/500]	 Loss: 0.7398819529093229	 Accuracy: 0.7380809294871795
Epoch [92/500]	 Loss: 0.7391230684060317	 Accuracy: 0.7384615384615385
Epoch [93/500]	 Loss: 0.7383742787899115	 Accuracy: 0.7387419871794871
Epoch [94/500]	 Loss: 0.737635326385498	 Accuracy: 0.7390224358974359
Epoch [95/500]	 Loss: 0.7369059467927004	 Accuracy: 0.7392628205128206
Epoch [96/500]	 Loss: 0.7361858912003346	 Accuracy: 0.7396233974358974
Epoch [97/500]	 Loss: 0.7354749254691295	 Accuracy: 0.7398237179487179
Epoch [98/500]	 Loss: 0.7347727980369176	 Accuracy: 0.740224358974359
Epoch [99/500]	 Loss: 0.7340793178631709	 Accuracy: 0.7402644230769231
Epoch [100/500]	 Loss: 0.7333942578389094	 Accuracy: 0.7403846153846154
Epoch [101/500]	 Loss: 0.7327174146970113	 Accuracy: 0.7406850961538461
Epoch [102/500]	 Loss: 0.7320485894496624	 Accuracy: 0.741005608974359
Epoch [103/500]	 Loss: 0.7313875913619995	 Accuracy: 0.7411658653846154
Epoch [104/500]	 Loss: 0.7307342410087585	 Accuracy: 0.74140625
Epoch [105/500]	 Loss: 0.7300883488777357	 Accuracy: 0.7416666666666667
Epoch [106/500]	 Loss: 0.7294497593855247	 Accuracy: 0.7417668269230769
Epoch [107/500]	 Loss: 0.7288183028881366	 Accuracy: 0.7419871794871795
Epoch [108/500]	 Loss: 0.7281938063792693	 Accuracy: 0.7423076923076923
Epoch [109/500]	 Loss: 0.727576133226737	 Accuracy: 0.7424879807692307
Epoch [110/500]	 Loss: 0.7269651370170789	 Accuracy: 0.7426682692307692
Epoch [111/500]	 Loss: 0.7263606594159053	 Accuracy: 0.7428886217948718
Epoch [112/500]	 Loss: 0.7257625585947282	 Accuracy: 0.7432291666666667
Epoch [113/500]	 Loss: 0.7251707135102687	 Accuracy: 0.743369391025641
Epoch [114/500]	 Loss: 0.7245849875303415	 Accuracy: 0.7436498397435898
Epoch [115/500]	 Loss: 0.7240052431057661	 Accuracy: 0.7438501602564103
Epoch [116/500]	 Loss: 0.7234313790614788	 Accuracy: 0.7442508012820512
Epoch [117/500]	 Loss: 0.7228632633502666	 Accuracy: 0.7445512820512821
Epoch [118/500]	 Loss: 0.722300774928851	 Accuracy: 0.7447716346153846
Epoch [119/500]	 Loss: 0.721743818735465	 Accuracy: 0.7451522435897436
Epoch [120/500]	 Loss: 0.7211922712815113	 Accuracy: 0.7453926282051282
Epoch [121/500]	 Loss: 0.7206460323089209	 Accuracy: 0.7455528846153846
Epoch [122/500]	 Loss: 0.7201050046162728	 Accuracy: 0.745713141025641
Epoch [123/500]	 Loss: 0.7195690796925471	 Accuracy: 0.7460136217948717
Epoch [124/500]	 Loss: 0.7190381734799116	 Accuracy: 0.7462339743589743
Epoch [125/500]	 Loss: 0.7185121741050329	 Accuracy: 0.7463741987179487
Epoch [126/500]	 Loss: 0.7179910192122826	 Accuracy: 0.7466346153846154
Epoch [127/500]	 Loss: 0.717474599984976	 Accuracy: 0.7468349358974359
Epoch [128/500]	 Loss: 0.716962823501	 Accuracy: 0.7471354166666667
Epoch [129/500]	 Loss: 0.7164556151781327	 Accuracy: 0.7473157051282051
Epoch [130/500]	 Loss: 0.7159529059361189	 Accuracy: 0.7473958333333334
Epoch [131/500]	 Loss: 0.7154546049924997	 Accuracy: 0.7475961538461539
Epoch [132/500]	 Loss: 0.7149606185081677	 Accuracy: 0.7478165064102564
Epoch [133/500]	 Loss: 0.7144708972710829	 Accuracy: 0.7479767628205128
Epoch [134/500]	 Loss: 0.7139853734236498	 Accuracy: 0.7480769230769231
Epoch [135/500]	 Loss: 0.7135039509871067	 Accuracy: 0.7482772435897436
Epoch [136/500]	 Loss: 0.7130265776927655	 Accuracy: 0.748417467948718
Epoch [137/500]	 Loss: 0.7125531673431397	 Accuracy: 0.7485576923076923
Epoch [138/500]	 Loss: 0.712083673171508	 Accuracy: 0.7487980769230769
Epoch [139/500]	 Loss: 0.7116180209013132	 Accuracy: 0.7489383012820513
Epoch [140/500]	 Loss: 0.7111561536788941	 Accuracy: 0.7491586538461539
Epoch [141/500]	 Loss: 0.7106980180129027	 Accuracy: 0.7493790064102565
Epoch [142/500]	 Loss: 0.7102435362644685	 Accuracy: 0.7496594551282051
Epoch [143/500]	 Loss: 0.7097926576932271	 Accuracy: 0.7500400641025641
Epoch [144/500]	 Loss: 0.7093453327814738	 Accuracy: 0.7503205128205128
Epoch [145/500]	 Loss: 0.708901501313234	 Accuracy: 0.7505809294871795
Epoch [146/500]	 Loss: 0.7084610917629339	 Accuracy: 0.750761217948718
Epoch [147/500]	 Loss: 0.7080240744810838	 Accuracy: 0.7509815705128206
Epoch [148/500]	 Loss: 0.7075904008669731	 Accuracy: 0.7510817307692308
Epoch [149/500]	 Loss: 0.7071600052026602	 Accuracy: 0.7512019230769231
Epoch [150/500]	 Loss: 0.7067328278835003	 Accuracy: 0.7514423076923077
Epoch [151/500]	 Loss: 0.7063088588225536	 Accuracy: 0.7516426282051282
Epoch [152/500]	 Loss: 0.705888007237361	 Accuracy: 0.7518229166666667
Epoch [153/500]	 Loss: 0.7054702651806367	 Accuracy: 0.751963141025641
Epoch [154/500]	 Loss: 0.7050555681570982	 Accuracy: 0.7522636217948718
Epoch [155/500]	 Loss: 0.7046438715396783	 Accuracy: 0.752323717948718
Epoch [156/500]	 Loss: 0.7042351325352987	 Accuracy: 0.7524238782051282
Epoch [157/500]	 Loss: 0.7038293211888045	 Accuracy: 0.7525641025641026
Epoch [158/500]	 Loss: 0.7034263778955508	 Accuracy: 0.7526842948717949
Epoch [159/500]	 Loss: 0.7030262727003831	 Accuracy: 0.752724358974359
Epoch [160/500]	 Loss: 0.7026289713688386	 Accuracy: 0.7528044871794872
Epoch [161/500]	 Loss: 0.7022344164359264	 Accuracy: 0.7530048076923077
Epoch [162/500]	 Loss: 0.701842593229734	 Accuracy: 0.7532051282051282
Epoch [163/500]	 Loss: 0.7014534549835401	 Accuracy: 0.7532251602564103
Epoch [164/500]	 Loss: 0.7010669589042664	 Accuracy: 0.7533854166666667
Epoch [165/500]	 Loss: 0.7006830750367581	 Accuracy: 0.7536057692307693
Epoch [166/500]	 Loss: 0.7003017792334923	 Accuracy: 0.7537459935897436
Epoch [167/500]	 Loss: 0.6999230158634675	 Accuracy: 0.75390625
Epoch [168/500]	 Loss: 0.6995467671981225	 Accuracy: 0.7540264423076923
Epoch [169/500]	 Loss: 0.6991729968633407	 Accuracy: 0.7541466346153847
Epoch [170/500]	 Loss: 0.6988016663453518	 Accuracy: 0.754286858974359
Epoch [171/500]	 Loss: 0.6984327600552486	 Accuracy: 0.7544671474358975
Epoch [172/500]	 Loss: 0.698066218999716	 Accuracy: 0.754667467948718
Epoch [173/500]	 Loss: 0.697702045012743	 Accuracy: 0.7546073717948718
Epoch [174/500]	 Loss: 0.6973401812406687	 Accuracy: 0.7549078525641025
Epoch [175/500]	 Loss: 0.6969806182078826	 Accuracy: 0.7549679487179487
Epoch [176/500]	 Loss: 0.6966233183176089	 Accuracy: 0.7551682692307692
Epoch [177/500]	 Loss: 0.6962682705659132	 Accuracy: 0.7552884615384615
Epoch [178/500]	 Loss: 0.6959154211557829	 Accuracy: 0.7554086538461539
Epoch [179/500]	 Loss: 0.6955647633625911	 Accuracy: 0.7556490384615384
Epoch [180/500]	 Loss: 0.6952162363590338	 Accuracy: 0.7560496794871795
Epoch [181/500]	 Loss: 0.6948698548170237	 Accuracy: 0.7561698717948718
