,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.9008350880940755,0.0031315231324016805,0.2524278511603673,0.021073937771446873,0.8361111450195313,0.013393964664484068,0.4750494994223118,0.04094579938252789
lr-0.0001,0.9394572194417318,0.008152646151917188,0.17337408978492022,0.01928774816266988,0.8750000508626302,0.011023983020382263,0.3422895347078641,0.032325577499370706
lr-0.0005,0.8872651418050129,0.02199509562747786,0.29582517519593243,0.04762179590816859,0.854166717529297,0.0041666412353515425,0.43421054010589916,0.033511364050454566
lr-0.0002,0.9237996164957681,0.012038193052515928,0.2064662172148625,0.021251896063064997,0.8722222646077474,0.012729382480033484,0.3636331545809905,0.034115897057774416
