,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.8472686767578126,0.036687827282653254,0.41114524155855176,0.05705206527203613,0.9369369506835937,0.015604076805889591,0.20179646586378416,0.07922714552236036
lr-0.0001,0.8483834838867188,0.03016219558492684,0.3720176964998245,0.043128100693047455,0.9459459686279298,0.027027053833007852,0.15547563492630914,0.06127268769987321
lr-0.001,0.7569676717122396,0.009654689132847562,0.5844889024893444,0.044054603110985434,0.8468468475341798,0.015604076805889591,0.45989883318543434,0.21774856411048457
lr-0.0005,0.8260869598388672,0.012058683817852361,0.4390283842881521,0.04516435672458003,0.8828829193115234,0.015604076805889527,0.2808157023973763,0.043006087036160684
lr-0.0002,0.8383500417073568,0.05659326408110492,0.4251916358868281,0.10969313039435043,0.9279279327392578,0.015604076805889591,0.2265075830897937,0.08342490827446093
