,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.9276667022705078,0.018616760752765766,0.1798079393597113,0.0476162052123226,0.8483333333333333,0.0014433756729740337,0.45597387200746775,0.03498640699080272
lr-0.0001,0.9358333587646485,0.01904162802439227,0.16417181407096526,0.044625389772764784,0.8541666666666666,0.0038188130791298944,0.457434998681912,0.04791741980467395
lr-0.001,0.8508333841959635,0.0052993453576145235,0.34568908384868074,0.026979165768081077,0.8250000000000001,0.007500000000000007,0.4097188825790699,0.01757702198428333
lr-0.0005,0.9101667022705078,0.007973894600343376,0.22188782341108118,0.02208135835364639,0.8408333333333333,0.0038188130791298462,0.41258151561785966,0.04895156938814744
lr-0.0002,0.9390000406901041,0.019487152953934335,0.1601624804445439,0.04357765633473666,0.8441666666666666,0.0038188130791298944,0.463923230385169,0.11330986197869439
