,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.8729096984863282,0.0033444976806640825,0.32505481590827306,0.028688768446239306,0.9729730224609375,0.0,0.12901425609985986,0.04157114635425603
lr-0.0001,0.8416945393880209,0.04181713902703099,0.37883721987406416,0.052363088034280275,0.9369369506835937,0.015604076805889591,0.17677891813218596,0.03730027685168596
lr-0.001,0.7391304270426433,0.006688957214391676,0.5925978720188141,0.018543199849519784,0.8558558654785156,0.031208153611779116,0.36289463688929874,0.01166201472764018
lr-0.0005,0.7759197489420573,0.02034369737608248,0.5154279460509618,0.02007468681084386,0.8828828938802084,0.031208109563449212,0.32088708505034447,0.056073457872784394
lr-0.0002,0.8539576212565104,0.0387632824269571,0.40481319030125934,0.08867292037361643,0.9369369506835937,0.015604076805889591,0.17271324697261056,0.03707869750705258
