,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.8885000356038413,0.05185558586380896,0.25957351897365205,0.11466618609629084,0.8441666666666666,0.005204164998665327,0.4627016270772004,0.08318627917735684
lr-0.0001,0.9405000559488933,0.04114304213445094,0.15337469104046705,0.1052829137026947,0.8516666666666666,0.006291528696058993,0.524326258744949,0.1622733919778198
lr-0.001,0.8776667277018229,0.012583057392117928,0.29992120653863935,0.024673132687026315,0.835,0.006614378277661461,0.41258308807244665,0.03889717220576738
lr-0.0005,0.9226667277018229,0.020840655492240668,0.1887102228485876,0.04692768457049414,0.8441666666666666,0.005204164998665327,0.4710163061435406,0.049452674068192454
lr-0.0002,0.9495000457763672,0.02199996948242189,0.13203769509567231,0.04804248105930373,0.8583333333333334,0.00721687836487036,0.5130905019931303,0.1324639333021816
