,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.8782185363769531,0.00969895607907187,0.3006867243183984,0.03908682047675735,0.8236111450195311,0.013393964664484068,0.5079840309917927,0.07820785812286932
lr-0.0001,0.9321503448486328,0.005219192504882786,0.18613409226139388,0.016005480413621133,0.8513889312744141,0.016839396485371853,0.40965962409973145,0.04524299208457227
lr-0.0005,0.8792623901367187,0.00869170346080059,0.3053357298175494,0.018881897664709144,0.8527778116861979,0.01577473644859524,0.40318961814045906,0.04827937087279311
lr-0.0002,0.9234516398111978,0.02505943308285232,0.22111560513989792,0.05916690373412783,0.8694444783528645,0.010485892949711815,0.38304884638637304,0.018824741594330886
