,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-0.0001,0.9591001892089844,0.0337887945363515,0.1391598550706274,0.09021882581328515,0.9702381388346354,0.005154931995620143,0.0919253865334516,0.03125035859148981
lr-0.001,0.912065404256185,0.019721144509971866,0.2943419160114394,0.048200778323256734,0.9434524281819661,0.005154887947290303,0.173371366225183,0.019094052761366085
lr-0.0005,0.9406952667236329,0.03944233253217139,0.2032367309762372,0.0513325796964525,0.949404805501302,0.0051549319956202076,0.1498696677541981,0.05408780763545972
lr-0.0002,0.9509202321370442,0.012269935607929886,0.1726694672058026,0.10154916851953272,0.9732143147786458,0.008928565979031041,0.08484929551680882,0.015329882819132237
