,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-0.0001,0.9529652150472004,0.012770956939519193,0.14583313381040675,0.029815133750702195,0.9642857360839844,0.0,0.09035443514585495,0.013965799990134389
lr-0.001,0.905930455525716,0.03594763407845578,0.20856033265590668,0.054989297011963936,0.9255952962239583,0.03717262720379662,0.19777648088832697,0.07423696581906619
lr-0.0005,0.948875249226888,0.01543932281616746,0.19013908836576676,0.04933294865730677,0.9672619628906248,0.028701359633579834,0.10341354475046198,0.05180036005737855
lr-0.0002,0.9570552062988281,0.02211994628052164,0.09897263213578196,0.0502282013418261,0.9642857615152995,0.008928565979031041,0.147699740404884,0.030543074718775355
